Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
MeeSeva Center,4.7,(85),Government,Hyderabad +32 other locations,121,5,--,7,--,"Skill Development, Work Satisfaction, Company Culture"
BDx Data Centers,4.8,(85),IT Services & Consulting,Mumbai +4 other locations,180,6,5,1,--,"Work Life Balance, Work Satisfaction, Job Security"
Clikon Technologies,4.8,(85),IT Services & Consulting,Noida +3 other locations,578,1,--,3,--,"Company Culture, Work Satisfaction, Job Security"
High Creation Interior Projects Pvt Ltd,4.5,(85),Architecture & Interior Design,Noida +4 other locations,42,15,6,1,9,"Work Life Balance, Company Culture, Work Satisfaction"
Credicus,4.7,(85),Internet,Pune +3 other locations,39,14,1.7k,1,--,"Company Culture, Work Life Balance, Skill Development"
Amenity Appliances,4.8,(84),Kolkata +8 other locations,,36,3,--,--,1,"Company Culture, Job Security, Work Life Balance"
Corefront Technologies,4.7,(84),IT Services & Consulting,Bengaluru +5 other locations,889,1,--,--,--,"Work Life Balance, Company Culture, Work Satisfaction"
Landmark Global Organisation,4.5,(84),Hyderabad +2 other locations,,35,25,--,1,3,"Skill Development, Company Culture, Work Life Balance"
Kuhoo Finance Private Limited,4.5,(84),NBFC,Mumbai +9 other locations,265,16,1,6,34,"Company Culture, Skill Development, Work Satisfaction"
NowPurchase,4.7,(84),Industrial Machinery,Kolkata +6 other locations,253,16,30,3,29,"Company Culture, Work Life Balance, Work Satisfaction"
Manikgarh Cement,4.6,(84),Building Material,New Delhi +10 other locations,191,2,--,11,--,"Skill Development, Company Culture, Work Satisfaction"
Valuesoft Info Services,4.7,(83),IT Services & Consulting,Bengaluru +3 other locations,232,5,--,14,19,"Company Culture, Work Life Balance, Work Satisfaction"
Kapoor Industries,4.5,(83),New Delhi +6 other locations,,303,5,--,8,1,"Company Culture, Work Life Balance, Work Satisfaction"
AVT McCormick Ingredients,4.5,(83),Food Processing,New Delhi +9 other locations,456,4,--,9,14,"Company Culture, Work Life Balance, Salary"
Uges Powermax,4.5,(83),New Delhi +25 other locations,,248,4,--,3,--,"Company Culture, Skill Development, Work Life Balance"
Nihon Parkerizing,4.6,(83),Chemicals,New Delhi +8 other locations,405,7,2,7,--,"Job Security, Company Culture, Work Life Balance"
Carillion Alawi LLC,4.6,(83),Facility Management Services,New Delhi +11 other locations,99,3,--,11,1,"Work Satisfaction, Work Life Balance, Company Culture"
Renaissance Hotels,4.5,(83),Hospitality,Mumbai +6 other locations,272,2,--,2,--,"Company Culture, Work Life Balance, Job Security"
Revenue Department,4.6,(82),New Delhi +43 other locations,,341,4,--,3,4,"Work Satisfaction, Work Life Balance, Skill Development"
Surjit Hire Purchase,4.5,(82),New Delhi +23 other locations,,146,2,--,1,1,"Salary, Company Culture, Skill Development"
Mancer Consulting Services,4.6,(82),Recruitment,New Delhi +5 other locations,148,19,4,7,--,"Company Culture, Work Life Balance, Work Satisfaction"
Hirva Hr Solutions,4.8,(82),Recruitment,New Delhi +33 other locations,28,3,--,51,13,"Company Culture, Work Satisfaction, Promotions"
Skill Stork International School,4.7,(82),Education & Training,New Delhi +3 other locations,105,10,--,6,--,"Job Security, Skill Development, Work Satisfaction"
Lifestyle Housing,4.6,(82),Real Estate,Chennai,157,32,11,--,--,"Company Culture, Work Life Balance, Work Satisfaction"
Codincity Digital Technologies,4.8,(82),IT Services & Consulting,New Delhi +2 other locations,189,3,18,26,1,"Company Culture, Work Life Balance, Skill Development"
Beaver Infra Consultants,4.6,(82),Engineering & Construction,New Delhi +13 other locations,288,6,5,14,--,"Work Life Balance, Job Security, Work Satisfaction"
Brain Vision Technology,4.5,(82),IT Services & Consulting,Pune +4 other locations,1.1k,2,4,6,--,"Company Culture, Work Life Balance, Work Satisfaction"
Dwarikesh Sugar Industries,4.5,(82),Food Processing,New Delhi +6 other locations,339,7,--,5,--,"Work Life Balance, Work Satisfaction, Company Culture"
AVA Technology,4.8,(82),New Delhi +5 other locations,,9,6,--,--,--,"Company Culture, Work Life Balance, Work Satisfaction"
Holiday Tribe Private Limited,4.5,(82),Travel & Tourism,Gurugram +2 other locations,51,30,4,2,14,"Skill Development, Company Culture, Work Life Balance"
De Lage Landen Financial Services,4.5,(81),Financial Services,Mumbai +28 other locations,251,3,--,8,--,"Work Life Balance, Company Culture, Work Satisfaction"
Deejos Engineers & Contractors,4.9,(81),Architecture & Interior Design,Chennai +2 other locations,36,4,15,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
