Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
Indo-Tibetan Border Police,4.6,(132),Government,New Delhi +34 other locations,262,2,--,13,3,"Job Security, Salary, Company Culture"
Dasnac,4.5,(130),Real Estate,New Delhi +2 other locations,292,13,--,3,--,"Salary, Company Culture, Work Life Balance"
Nucot,4.6,(130),Recruitment,Bengaluru +1 other locations,44,7,--,1,13,"Job Security, Company Culture, Work Life Balance"
Basix,4.5,(130),Financial Services,Hyderabad +64 other locations,261,7,--,19,--,"Company Culture, Work Life Balance, Work Satisfaction"
WsCube Tech,4.9,(129),IT Services & Consulting,New Delhi +2 other locations,110,4,--,4,--,"Job Security, Skill Development, Company Culture"
DelEx Cargo,4.5,(127),Logistics,Mumbai +31 other locations,335,6,--,20,--,"Company Culture, Work Satisfaction, Work Life Balance"
Acent High Soft Technologies,4.7,(128),Recruitment,Noida +4 other locations,89,4,--,3,--,"Work Satisfaction, Job Security, Company Culture"
Vertex Global Services,4.5,(127),IT Services & Consulting,Gurugram +5 other locations,185,14,--,1,2,"Work Life Balance, Company Culture, Work Satisfaction"
Daelim Industrial Co.,4.8,(126),Petrochemicals,Chennai +13 other locations,95,4,--,28,--,"Company Culture, Skill Development, Promotions"
IndiaCan,4.6,(127),EdTech,New Delhi +39 other locations,131,3,--,20,1,"Skill Development, Company Culture, Work Satisfaction"
Shantha Biotechnics,4.8,(127),Biotechnology,Hyderabad +3 other locations,276,3,5,19,1,"Skill Development, Work Satisfaction, Work Life Balance"
Obbserv Online Services,4.5,(127),New Delhi +3 other locations,,141,4,2,20,--,"Work Satisfaction, Promotions, Skill Development"
QO BOX,4.6,(126),IT Services & Consulting,Chennai +3 other locations,68,6,--,10,--,"Skill Development, Company Culture, Work Satisfaction"
Meritshot,4.5,(126),Education & Training,Noida +2 other locations,63,22,2,2,--,"Work Life Balance, Company Culture, Work Satisfaction"
BeBran Digital,4.5,(125),New Delhi +2 other locations,,17,38,--,2,--,"Company Culture, Skill Development, Work Life Balance"
DELLA LEADERS CLUB,4.6,(125),IT Services & Consulting,Mumbai +4 other locations,123,3,22,26,4,"Skill Development, Company Culture, Work Life Balance"
Earlyjobs,4.8,(126),Recruitment,Bengaluru +4 other locations,13,37,--,2,2,"Company Culture, Skill Development, Work Life Balance"
Mores Techno Private Limited,4.8,(125),Real Estate,Noida +6 other locations,21,9,14,2,9,"Company Culture, Work Life Balance, Work Satisfaction"
Radiant Guard Services Pvt. Ltd. - India,4.8,(125),Law Enforcement & Security,Pune +14 other locations,87,23,--,1,12,"Work Life Balance, Company Culture, Work Satisfaction"
M G Contractors,4.5,(125),Engineering & Construction,New Delhi +27 other locations,428,5,--,13,--,"Work Satisfaction, Company Culture, Work Life Balance"
Gojavas,4.7,(124),Logistics,New Delhi +47 other locations,130,1,--,22,--,"Company Culture, Work Satisfaction, Work Life Balance"
Chetak Enterprises,4.5,(124),Engineering & Construction,Mumbai +22 other locations,436,--,--,14,--,"Work Life Balance, Company Culture, Work Satisfaction"
Powermax Fitness India,4.8,(124),Fitness & Wellness,Mumbai +3 other locations,101,3,--,2,--,"Skill Development, Job Security, Company Culture"
Sud Chemie,4.5,(124),Chemicals,New Delhi +5 other locations,565,5,--,16,--,"Work Life Balance, Job Security, Salary"
Richmondd Global School,4.8,(124),Education & Training,New Delhi +2 other locations,84,6,2,5,--,"Work Life Balance, Company Culture, Work Satisfaction"
Tribeca Developers,4.6,(124),Real Estate,Pune +7 other locations,261,26,39,2,--,"Company Culture, Salary, Work Life Balance"
ADS Spirits,4.5,(124),Beverage,New Delhi +29 other locations,498,8,7,9,--,"Work Life Balance, Work Satisfaction, Company Culture"
Suzlon Gujarat Wind Park,4.5,(123),Power,New Delhi +23 other locations,330,9,--,26,--,"Work Life Balance, Skill Development, Company Culture"
Next Move Strategy Consulting,4.8,(123),New Delhi +4 other locations,,20,31,--,15,39,"Company Culture, Work Satisfaction, Job Security"
Petronet LNG,4.6,(123),Oil & Gas,New Delhi +7 other locations,637,9,--,14,--,"Work Life Balance, Job Security, Salary"
Hombale Constructions and Estates,4.5,(123),Engineering & Construction,Bengaluru +6 other locations,465,2,--,24,--,"Salary, Company Culture, Work Life Balance"
Electronica India Limited,4.6,(122),Pune +25 other locations,,219,11,--,--,--,"Company Culture, Work Life Balance, Skill Development"
Kilitch Healthcare India,4.6,(122),Marketing & Advertising,Mumbai +18 other locations,451,26,--,--,--,"Company Culture, Work Life Balance, Work Satisfaction"
Arvog,4.7,(122),Financial Services,Mumbai +35 other locations,88,49,8,--,--,"Work Life Balance, Work Satisfaction, Skill Development"
Futures Group,4.6,(121),Retail,New Delhi +44 other locations,691,2,--,16,--,"Company Culture, Work Life Balance, Skill Development"
Wildnet Technologies,4.4,(121),Marketing & Advertising,Noida +4 other locations,516,14,15,7,2,"Company Culture, Work Life Balance, Work Satisfaction"
Hidoc Dr,4.7,(120),Internet,Pune +2 other locations,105,34,2,1,7,"Skill Development, Company Culture, Work Life Balance"
Mendine Pharmaceuticals,4.5,(120),Pharma,Kolkata +15 other locations,273,15,136,7,--,"Job Security, Company Culture, Work Life Balance"
Suhail Bahwan Automobiles,4.0,(120),Auto Components,New Delhi +10 other locations,290,3,--,22,--,"Company Culture, Skill Development, Work Life Balance"
The AEC Associates,4.5,(119),Engineering & Construction,Noida +3 other locations,205,15,2,7,8,"Company Culture, Work Life Balance, Work Satisfaction"
Ksk Energy Ventures,4.5,(119),Oil & Gas,Hyderabad +16 other locations,394,5,2,18,--,"Work Life Balance, Work Satisfaction, Skill Development"
My Engineering Buddy,4.7,(118),Education & Training,Bengaluru +3 other locations,5,9,--,1,--,"Work Satisfaction, Skill Development, Company Culture"
Ahlcon Parenterals,4.6,(118),Pharma,New Delhi +6 other locations,382,6,--,16,--,"Work Life Balance, Job Security, Company Culture"
Anko,4.5,(118),Retail,Bengaluru +3 other locations,910,16,8,20,5,"Work Life Balance, Company Culture, Work Satisfaction"
Haridwar University,4.5,(117),Education & Training,New Delhi +2 other locations,55,14,--,1,4,"Company Culture, Work Life Balance, Work Satisfaction"
Syscom Corporation,4.6,(117),IT Services & Consulting,Noida +5 other locations,381,4,--,23,--,"Company Culture, Job Security, Promotions"
PNG Jewellers,4.5,(117),Jewellery,Pune +23 other locations,392,13,9,5,--,"Company Culture, Job Security, Salary"
Chemco Plastic Industries Private Limited,4.5,(117),Petrochemicals,Mumbai +8 other locations,502,6,3,15,--,"Work Life Balance, Salary, Company Culture"
Trangile Services,4.5,(116),IT Services & Consulting,Noida +7 other locations,582,10,6,3,57,"Work Life Balance, Skill Development, Salary"
Relinns Technologies,4.5,(116),IT Services & Consulting,New Delhi +4 other locations,175,20,35,1,1.2k,"Company Culture, Skill Development, Work Satisfaction"
Piscesia Power Transmission,4.5,(115),Power,Noida +7 other locations,68,1,--,3,--,"Work Life Balance, Company Culture, Work Satisfaction"
Graphura India Private Limited,4.6,(115),Marketing & Advertising,Gurugram +3 other locations,3,70,--,41,--,"Skill Development, Company Culture, Work Life Balance"
Delta Exchange,4.8,(115),Financial Services,Bengaluru +3 other locations,191,37,3,1,1,"Company Culture, Work Life Balance, Work Satisfaction"
Emblix Solutions,4.5,(114),IT Services & Consulting,Hyderabad +2 other locations,112,4,5,39,8,"Company Culture, Work Satisfaction, Work Life Balance"
Azkka Pharmaceuticals,4.6,(114),Pharma,Ahmedabad +21 other locations,166,15,--,6,--,"Company Culture, Work Life Balance, Work Satisfaction"
Digiglobe Solutions,4.8,(114),IT Services & Consulting,Hyderabad +11 other locations,5,3,--,8,--,"Skill Development, Company Culture, Work Life Balance"
Bop Realty,4.6,(113),Real Estate,Noida +8 other locations,300,8,4,3,1,"Company Culture, Work Life Balance, Work Satisfaction"
Senrysa Technologies,4.5,(113),IT Services & Consulting,Kolkata +10 other locations,321,10,1,15,--,"Job Security, Skill Development, Company Culture"
HumanHire Corp.,4.6,(113),IT Services & Consulting,New Delhi +2 other locations,43,39,2,5,26,"Company Culture, Work Satisfaction, Work Life Balance"
Associative,4.9,(113),Software Product,Pune,52,115,3,99,39,"Company Culture, Salary, Work Life Balance"
SuperProcure,4.8,(113),Software Product,Kolkata +5 other locations,275,9,9,5,--,"Company Culture, Work Satisfaction, Skill Development"
Sofitel Luxury Hotel,4.5,(113),Hospitality,Mumbai +11 other locations,349,9,4,12,--,"Salary, Skill Development, Job Security"
Bangalore Baptist Hospital,4.5,(113),Healthcare,Bengaluru +1 other locations,368,2,9,12,--,"Work Life Balance, Company Culture, Work Satisfaction"
Adarsh Group,4.5,(113),Bengaluru +10 other locations,,617,1,--,1,--,"Work Life Balance, Company Culture, Work Satisfaction"
Techwise Digital,4.6,(112),IT Services & Consulting,Bengaluru +6 other locations,107,22,6,1,--,"Work Life Balance, Company Culture, Work Satisfaction"
Jamia Millia Islamia,4.5,(112),Education & Training,New Delhi +7 other locations,365,2,--,15,--,"Company Culture, Work Life Balance, Work Satisfaction"
Avant Garde Industries,4.7,(112),Industrial Machinery,Mumbai +3 other locations,79,43,3,2,--,"Job Security, Skill Development, Company Culture"
East West Seeds,4.5,(112),FMCG,New Delhi +24 other locations,393,10,--,10,1,"Company Culture, Work Life Balance, Work Satisfaction"
Armed Forces Tribunal,4.9,(111),Government,New Delhi +38 other locations,304,--,--,20,--,"Job Security, Company Culture, Work Satisfaction"
Vatsal Technosoft,4.5,(111),IT Services & Consulting,Ahmedabad +6 other locations,30,9,--,4,--,"Skill Development, Company Culture, Work Life Balance"
Imdaad,4.5,(111),Facility Management Services,New Delhi +8 other locations,173,8,--,14,1,"Skill Development, Job Security, Work Satisfaction"
Shell Recharge Solutions,4.7,(111),Software Product,Bengaluru +4 other locations,146,27,15,2,15,"Company Culture, Work Life Balance, Work Satisfaction"
Smart Software Services(I),4.8,(110),Software Product,Pune,1k,4,2,4,--,"Company Culture, Work Life Balance, Work Satisfaction"
Klizo Solutions,4.5,(110),IT Services & Consulting,Kolkata,142,27,--,13,--,"Skill Development, Company Culture, Work Life Balance"
Media NV,4.6,(111),Ahmedabad,,116,47,3,2,--,"Work Life Balance, Company Culture, Work Satisfaction"
Acesoft Labs,4.6,(109),IT Services & Consulting,Bengaluru +8 other locations,229,15,--,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
Teks academy,4.5,(109),Hyderabad +5 other locations,,100,39,--,1,1,"Company Culture, Work Life Balance, Work Satisfaction"
Learning Saint,4.4,(110),Education & Training,Noida +3 other locations,23,13,1,2,3,"Company Culture, Work Life Balance, Work Satisfaction"
Scalex Media,4.7,(108),Bengaluru +2 other locations,,47,29,--,1,--,"Company Culture, Skill Development, Work Life Balance"
The Flights Guru Infotech,4.6,(108),Travel & Tourism,Gurugram +2 other locations,177,10,--,5,12,"Company Culture, Work Life Balance, Work Satisfaction"
Insphere Solutions,4.6,(108),Emerging Technologies,New Delhi +6 other locations,178,40,10,--,3,"Job Security, Company Culture, Work Life Balance"
Saleswallah,4.8,(107),Education & Training,Gurugram +1 other locations,71,12,--,1,--,"Company Culture, Work Life Balance, Work Satisfaction"
MicroSpark Software Solutions,4.7,(107),IT Services & Consulting,Hyderabad +6 other locations,1.3k,5,--,6,--,"Work Life Balance, Company Culture, Work Satisfaction"
Xperteez Technology,4.7,(106),IT Services & Consulting,Kolkata +5 other locations,40,45,--,3,4,"Company Culture, Work Life Balance, Skill Development"
Integrated Assessment Service,4.9,(106),Chennai +1 other locations,,61,19,3,1,--,"Company Culture, Work Satisfaction, Job Security"
UP Power Transmission,4.5,(106),Facility Management Services,New Delhi +39 other locations,183,1,--,5,--,"Work Life Balance, Company Culture, Skill Development"
KrishTeck Technologies,4.5,(105),IT Services & Consulting,New Delhi +26 other locations,16,8,5,1,5,"Company Culture, Work Life Balance, Work Satisfaction"
Codewave Technologies,4.7,(105),IT Services & Consulting,Bengaluru +3 other locations,274,15,1,3,11,"Company Culture, Work Life Balance, Work Satisfaction"
Shri Ram Centennial School,4.6,(105),Education & Training,New Delhi +4 other locations,176,8,--,8,--,"Skill Development, Company Culture, Salary"
Filter Concept Private Ltd,4.6,(104),Ahmedabad +2 other locations,,119,2,--,3,4,"Company Culture, Work Life Balance, Work Satisfaction"
Salini Impregilo,4.6,(104),Engineering & Construction,New Delhi +10 other locations,224,2,--,18,7,"Salary, Company Culture, Work Life Balance"
Filter Concept Private Ltd,4.6,(104),Ahmedabad +2 other locations,,119,2,--,3,4,"Company Culture, Work Life Balance, Work Satisfaction"
GreenTree Immigration,4.5,(104),IT Services & Consulting,Chennai +4 other locations,51,12,--,9,36,"Work Satisfaction, Skill Development, Company Culture"
Hitachi Home & Life Solutions,4.5,(103),Industrial Machinery,Ahmedabad +20 other locations,266,2,--,11,--,"Work Life Balance, Salary, Skill Development"
BIC Contracting,4.7,(103),Engineering & Construction,New Delhi +9 other locations,166,2,--,16,--,"Salary, Skill Development, Company Culture"
Metro Shoes,4.5,(103),Fashion & Textile,Mumbai +32 other locations,308,7,--,14,--,"Skill Development, Company Culture, Job Security"
Pune Property Investor,4.8,(103),Real Estate,Pune,26,13,1,1,--,"Company Culture, Work Life Balance, Salary"
Allahabad High Court,4.5,(103),Government,New Delhi +9 other locations,592,6,--,5,--,"Skill Development, Work Life Balance, Work Satisfaction"
Innercircle Softech,4.9,(103),IT Services & Consulting,Bengaluru,31,--,--,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
Native Engineering,4.8,(103),Noida +5 other locations,,23,39,--,1,--,"Promotions, Skill Development, Salary"
Shalom Hills International School,4.8,(102),Education & Training,Gurugram +2 other locations,136,18,--,2,--,"Company Culture, Skill Development, Work Life Balance"
Gurman Industries,4.7,(103),New Delhi +9 other locations,,179,5,--,34,1,"Company Culture, Work Life Balance, Work Satisfaction"
